"REF_DATE","GEO","DGUID","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-09","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","311490","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","289484","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","15381","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","6625","","","","0"
"2008-09","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-10","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","351387","","","","0"
"2008-10","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","632809","","","","0"
"2008-10","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","458136","","","","0"
"2008-10","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","358","","","","0"
"2008-10","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","739916","","","","0"
"2008-10","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","351387","","","","0"
"2008-10","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","351387","","","","0"
"2008-10","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-10","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","242010","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","427079","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","257044","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","97267","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","6396","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","532984","","","","0"
"2008-10","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","242010","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","212494","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","29516","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","0","","","","0"
"2008-10","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-11","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","295713","","","","0"
"2008-11","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","739916","","","","0"
"2008-11","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","356688","","","","0"
"2008-11","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","2010","","","","0"
"2008-11","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","802901","","","","0"
"2008-11","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","295713","","","","0"
"2008-11","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","295713","","","","0"
"2008-11","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-11","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","118630","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","532984","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","230890","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","84528","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","9440","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","720332","","","","0"
"2008-11","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","118630","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","117276","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","1354","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","0","","","","0"
"2008-11","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-12","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","293823","","","","0"
"2008-12","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","802901","","","","0"
