"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"43","MUR","Murphy Oil","42.760","+0.100","0.23%","1907938","81993092","6605271509.16","42.760","42.350","45.410","8000","1000","43.010","42.660","43.480","42.630","1.92","77.78%","1.99","6.975","1.31","0.05","0.01%","-2.06%","1.04%","-1.16%","2.16%","5.84%","8.29%","0.23%","Oil & Gas E&P"
"44","SD","SandRidge Energy","13.700","+0.030","0.22%","297579","4092512","508150385.3","13.700","12.500","14.550","100","100","13.790","13.670","13.970","13.610","1.17","0.00%","2.63","2.101","0.82","0.04","0.33%","-2.49%","-1.08%","-2.07%","-6.02%","-11.98%","-1.88%","0.22%","Oil & Gas E&P"
"45","BSM","Black Stone Minerals","15.990","+0.030","0.19%","496873","7979002","3357754874.76","15.990","15.880","16.220","200","2400","15.950","15.960","16.290","15.905","0.58","-84.62%","2.41","7.542","0.29","0.25","0.39%","-3.67%","-1.42%","-8.10%","-5.23%","4.11%","13.52%","0.19%","Oil & Gas E&P"
"46","SWN","Southwestern Energy","6.560","+0.010","0.15%","11305445","74546572","7225597621.12","6.560","6.550","6.920","500","100","6.620","6.550","6.690","6.510","1.18","66.67%","2.75","3.951","1.03","-0.23","0.15%","-1.20%","4.29%","-1.20%","5.13%","7.54%","19.27%","0.15%","Oil & Gas E&P"
"47","BATL","Battalion Oil","9.620","+0.010","0.10%","75748","727693","158312136.06","9.620","9.560","9.750","1000","5300","9.600","9.610","9.630","9.560","1.12","-68.25%","0.73","8.589","1.27","0.42","0.31%","-0.10%","0.31%","89.74%","83.24%","35.11%","0.42%","0.10%","Oil & Gas E&P"
"48","CHK","Chesapeake Energy","76.990","+0.050","0.06%","929072","71978546","10091250756.73","76.990","76.580","78.900","500","100","77.860","76.940","78.340","76.645","0.86","66.67%","2.20","2.307","0.83","-0.06","0.20%","-0.38%","1.61%","-4.48%","-7.67%","-7.17%","-6.56%","0.06%","Oil & Gas E&P"
"49","GTE","Gran Tierra Energy","5.640","0.000","0.00%","302753","1724606","187746040.2","5.640","5.600","5.800","600","100","5.660","5.640","5.785","5.600","0.88","71.43%","3.29","1.484","1.00","0.45","0.45%","-2.25%","-2.08%","-12.29%","-5.53%","0.00%","-36.87%","0.00%","Oil & Gas E&P"
"50","CPG","Crescent Point Energy","6.920","-0.010","-0.14%","4316368","30205406","4335703786.8","6.920","6.910","7.120","100","100","7.000","6.930","7.076","6.900","1.43","0.00%","2.54","3.624","0.69","-0.07","0.07%","-1.42%","1.76%","-1.31%","-6.38%","-2.25%","11.50%","-0.14%","Oil & Gas E&P"
"51","AR","Antero Resources","22.620","-0.060","-0.26%","3299462","75083185","6798305280","22.620","22.000","22.620","200","4200","23.000","22.680","23.120","22.485","0.79","-90.91%","2.80","3.913","1.16","0.18","0.18%","-0.70%","2.86%","-5.28%","-7.90%","-5.16%","-20.41%","-0.26%","Oil & Gas E&P"
"52","VTS","Vitesse Energy","21.830","-0.060","-0.27%","256436","5631219","628428461.74","21.830","21.830","22.020","200","100","21.950","21.890","22.340","21.730","1.01","33.33%","2.79","5.311","1.17","0.41","0.14%","-2.46%","-3.58%","-5.38%","4.70%","-2.97%","36.67%","-0.27%","Oil & Gas E&P"
"53","EPM","Evolution Petroleum","5.790","-0.020","-0.34%","337200","1986194","193562322.87","5.790","5.750","5.990","200","100","5.890","5.810","5.984","5.780","1.15","33.33%","3.52","5.567","1.12","-0.52","0.00%","-2.36%","-4.14%","-1.51%","-4.69%","-27.47%","-10.73%","-0.34%","Oil & Gas E&P"
